backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,screw_s448,256,0,0.6,0.0,0.0,0.34375,0.6585365853658537,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.05,0.0,0.23529411764705882,0.0,0.0,0.0,0.825
dinov2_s,screw_s448,256,1,0.1,0.0,0.16806722689075632,0.05,0.0,0.06722689075630252,0.868421052631579
dinov2_s,screw_s448,256,1,0.15,0.0,0.06722689075630252,0.15625,0.12195121951219512,0.16806722689075632,0.9407407407407408
dinov2_s,screw_s448,256,1,0.2,0.0,0.04201680672268908,0.1875,0.17073170731707318,0.19327731092436976,0.9615384615384616
dinov2_s,screw_s448,256,1,0.25,0.0,0.01680672268907563,0.225,0.24390243902439024,0.2184873949579832,0.9838709677419355
dinov2_s,screw_s448,256,1,0.3,0.0,0.01680672268907563,0.2375,0.2926829268292683,0.2184873949579832,0.9836065573770492
dinov2_s,screw_s448,256,1,0.35,0.0,0.0,0.28125,0.4146341463414634,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.4,0.0,0.0,0.29375,0.4634146341463415,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.45,0.0,0.0,0.30625,0.5121951219512195,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.5,0.0,0.0,0.325,0.5853658536585366,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.55,0.0,0.0,0.33125,0.6097560975609756,0.23529411764705882,1.0
dinov2_s,screw_s448,256,1,0.6,0.0,0.0,0.34375,0.6585365853658537,0.23529411764705882,1.0
dinov2_s,screw_s448,256,2,0.05,0.0,0.23529411764705882,0.0,0.0,0.0,0.825
dinov2_s,screw_s448,256,2,0.1,0.0,0.15966386554621848,0.05625,0.0,0.07563025210084033,0.8741721854304636
dinov2_s,screw_s448,256,2,0.15,0.0,0.10084033613445378,0.10625,0.024390243902439025,0.13445378151260504,0.916083916083916
dinov2_s,screw_s448,256,2,0.2,0.0,0.03361344537815126,0.2,0.1951219512195122,0.20168067226890757,0.96875
dinov2_s,screw_s448,256,2,0.25,0.0,0.025210084033613446,0.225,0.2682926829268293,0.21008403361344538,0.9758064516129032
dinov2_s,screw_s448,256,2,0.3,0.0,0.025210084033613446,0.225,0.2682926829268293,0.21008403361344538,0.9758064516129032
dinov2_s,screw_s448,256,2,0.35,0.0,0.008403361344537815,0.25,0.3170731707317073,0.226890756302521,0.9916666666666667
dinov2_s,screw_s448,256,2,0.4,0.0,0.008403361344537815,0.25625,0.34146341463414637,0.226890756302521,0.9915966386554622
dinov2_s,screw_s448,256,2,0.45,0.0,0.008403361344537815,0.28125,0.43902439024390244,0.226890756302521,0.991304347826087
dinov2_s,screw_s448,256,2,0.5,0.0,0.0,0.325,0.5853658536585366,0.23529411764705882,1.0
dinov2_s,screw_s448,256,2,0.55,0.0,0.0,0.35,0.6829268292682927,0.23529411764705882,1.0
dinov2_s,screw_s448,256,2,0.6,0.0,0.0,0.35625,0.7073170731707317,0.23529411764705882,1.0
dinov2_s,screw_s448,256,3,0.05,0.024390243902439025,0.2184873949579832,0.0,0.0,0.0,0.83125
dinov2_s,screw_s448,256,3,0.1,0.024390243902439025,0.17647058823529413,0.03125,0.0,0.04201680672268908,0.8580645161290322
dinov2_s,screw_s448,256,3,0.15,0.024390243902439025,0.07563025210084033,0.125,0.07317073170731707,0.14285714285714285,0.9285714285714286
dinov2_s,screw_s448,256,3,0.2,0.024390243902439025,0.04201680672268908,0.16875,0.14634146341463414,0.17647058823529413,0.9548872180451128
dinov2_s,screw_s448,256,3,0.25,0.024390243902439025,0.03361344537815126,0.175,0.14634146341463414,0.18487394957983194,0.9621212121212122
